地名,センター,燃やすごみ,プラ（容器・包装プラスチック類）,カン,ビン,ペットボトル,その他不燃物,スプレー缶類・ガスライター,有害ごみ（乾電池・蛍光灯）,【参考】古紙等集団回収,粗大ごみ（事前申込制有料）,処理困難物,家電リサイクル品目,町で収集しないもの
字大山崎小字藤井畑（10藤井畑公園前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字藤井畑（14阪急駅西）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字西谷(10藤井畑公園前),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字西谷(14阪急駅西),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字西谷(17宝寺踏切南側),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字谷田(12福山氏宅前),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字谷田(18谷田住宅),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字谷田(19谷田防火水槽前),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字竜光(14阪急駅西),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,*3,月 木 *4,*5,*6,*5
字大山崎小字竜光(15新幹線高架下),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字竜光(17宝寺踏切南側),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字明島(14阪急駅西),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字明島(15新幹線高架下),クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字高麗田（15新幹線高架下）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字銭原（12福山氏宅前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字茶屋前（13茶屋前公園北）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字茶屋前（15新幹線高架下）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字茶屋前（73大山崎区民会館前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字高橋（13茶屋前公園北）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字高橋（15新幹線高架下）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字高橋（73大山崎区民会館前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字高橋（78メゾン山崎前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字上ノ田（11大山崎山荘広場前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字上ノ田（16小泉氏宅前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字琵琶谷（16小泉氏宅前）,クリーンプラザおとくに,月 木 *7,水1 水2 水3 水4 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,水1 水3 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字琵琶谷（41蛇姫池東側）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,金1 *3,月 木 *4,*5,*6,*5
字大山崎小字尻江（73大山崎区民会館前）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字尻江（74ベンリー山崎裏）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,火2 *3,月 木 *4,*5,*6,*5
字大山崎小字尻江（75イタリアン「Arata」横）,クリーンプラザおとくに,月 木 *7,金1 金2 金3 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,金2 金4 *2,*3,月 木 *4,*5,*6,*5
